Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PSY3122-01-00	심리통계	3	한광희	화1/목2,3	교604/위B05	30	55	21 (N)	0	0	0	0	O	12	1	12	11.67
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	12	Y (N)	6	Y	Y	0.9444	0.8333	4	O	 
3	12	Y (Y)	6	Y	Y	0.9333	0.8421	4	O	 
4	12	Y (Y)	6	Y	Y	0.8962	0.9473	4	O	 
5	12	Y (Y)	6	Y	Y	0.8666	1.0000	4	O	 
6	12	Y (N)	6	Y	Y	0.7703	0.7894	4	O	 
7	12	Y (Y)	6	Y	Y	0.7333	0.9473	4	O	 
8	12	Y (Y)	6	N	Y	0.9960	0.8333	4	O	 
9	12	Y (N)	6	N	Y	0.8789	0.8333	4	O	 
10	12	Y (Y)	6	N	Y	0.8592	0.7894	4	O	 
11	12	Y (N)	6	N	Y	0.8509	0.9473	4	O	 
12	12	Y (Y)	6	N	Y	0.8296	0.7894	4	O	 
13	12	Y (N)	6	N	Y	0.8222	0.7894	4	O	 
14	12	Y (Y)	6	N	Y	0.8000	0.7368	4	O	 
15	12	Y (N)	6	N	Y	0.7936	0.8888	4	O	 
16	12	Y (Y)	6	N	Y	0.7620	0.8947	4	O	 
17	12	Y (Y)	6	N	Y	0.7500	0.9375	4	O	 
18	12	Y (Y)	6	N	Y	0.7481	0.8947	4	O	 
19	12	Y (N)	6	N	Y	0.7222	1.0000	4	O	 
20	12	Y (Y)	6	N	Y	0.7111	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.7111	1.0000	4	O	 
22	12	Y (Y)	6	N	Y	0.6814	0.9473	3	O	 
23	12	Y (N)	6	N	Y	0.6666	1.0000	3	O	 
24	12	Y (Y)	6	N	Y	0.6518	0.9210	3	O	 
25	12	Y (Y)	6	N	Y	0.6296	0.9473	4	O	 
26	12	Y (Y)	6	N	Y	0.6296	0.9473	3	O	 
27	12	Y (Y)	6	N	Y	0.6222	0.6315	3	O	 
28	12	Y (Y)	6	N	Y	0.6037	1.0000	3	O	 
29	12	Y (Y)	6	N	Y	0.5629	0.9473	3	O	 
30	12	Y (Y)	6	N	Y	0.5555	0.4736	3	X	 
31	12	Y (Y)	6	N	Y	0.5185	0.9473	3	X	 
32	12	Y (Y)	6	N	Y	0.4407	1.0000	2	X	 
33	12	Y (Y)	6	N	Y	0.4148	0.9473	2	X	 
34	12	Y (Y)	6	N	Y	0.4000	0.9473	2	X	 
35	12	Y (Y)	6	N	Y	0.3851	0.7894	2	X	 
36	12	Y (Y)	5	Y	Y	0.9259	1.0000	4	X	 
37	12	Y (Y)	5	Y	Y	0.8888	1.0000	4	X	 
38	12	Y (Y)	5	Y	Y	0.8740	0.8421	4	X	 
39	12	Y (Y)	5	N	Y	0.9037	0.7894	4	X	 
40	12	Y (N)	5	N	N	1.0000	0.6666	4	X	 
41	12	Y (Y)	4	Y	Y	0.9857	1.0000	4	X	 
42	12	Y (N)	4	Y	Y	0.9703	0.7894	4	X	 
43	12	Y (Y)	4	Y	Y	0.9259	1.0000	4	X	 
44	12	Y (Y)	4	Y	Y	0.9111	0.8947	4	X	 
45	12	Y (N)	2	Y	N	1.0000	0.9473	4	X	 
46	12	N (N)	6	Y	Y	0.9841	1.0000	4	X	 
47	12	N (N)	6	N	Y	0.8333	1.0000	4	X	 
48	12	N (N)	6	N	Y	0.8015	0.8333	4	X	 
49	12	N (N)	5	N	Y	0.6111	0.7222	3	X	 
50	12	N (N)	4	Y	Y	0.9481	0.6315	4	X	 
51	12	N (N)	3	Y	Y	0.9047	1.0000	4	X	 
52	12	N (N)	2	N	N	0.9555	0.9473	4	X	 
53	5	N (N)	6	N	Y	0.4325	0.8611	2	X	 
54	1	Y (Y)	5	Y	Y	0.8962	0.6842	4	X	 
0	12	Y (Y)	6	N	Y	0.7185	0.8947	4	O	* 
