Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PSY4145-01-00	행동경제학과공동체	3	정안숙	수1,2,3	위B05	30	44	20 (Y)	0	6	12	12	O	12	1	12	9.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	Y	Y	0.8444	0.6315	4	O	 
2	12	Y (Y)	6	N	Y	1.0000	0.7619	4	O	 
3	12	Y (Y)	6	N	Y	0.8944	0.9473	4	O	 
4	12	Y (Y)	6	N	Y	0.8666	0.9473	4	O	 
5	12	Y (Y)	6	N	Y	0.8222	0.9473	4	O	 
6	12	Y (Y)	6	N	Y	0.8074	0.6315	4	O	 
7	12	Y (Y)	6	N	Y	0.6962	0.9473	4	O	 
8	12	Y (Y)	6	N	Y	0.6904	0.8888	3	O	 
9	12	Y (Y)	6	N	Y	0.5407	0.9736	3	O	 
10	12	Y (Y)	6	N	Y	0.4185	0.8684	2	O	 
11	12	Y (Y)	6	N	Y	0.3814	0.8684	2	O	 
12	12	Y (Y)	6	N	Y	0.3629	0.9473	2	O	 
13	12	Y (Y)	6	N	Y	0.3555	0.9473	2	O	 
14	12	Y (Y)	6	N	Y	0.2962	0.9473	2	O	 
15	12	Y (Y)	6	N	Y	0.2740	0.9473	2	O	 
16	12	Y (Y)	5	Y	Y	0.9333	0.8888	4	O	 
17	12	Y (Y)	5	N	Y	0.5000	0.9375	3	O	 
18	12	Y (Y)	5	N	Y	0.5000	0.9375	3	O	 
19	12	Y (Y)	4	N	Y	0.7500	1.0000	4	O	 
20	12	Y (Y)	4	N	Y	0.7500	0.9375	4	O	 
21	12	N (N)	6	Y	Y	0.9682	0.6666	4	O	 
22	12	N (N)	6	N	Y	0.7698	0.7222	3	O	 
23	12	N (N)	6	N	Y	0.7500	0.9375	4	O	 
24	12	N (N)	6	N	Y	0.7500	0.8750	4	X	 
25	12	N (N)	6	N	Y	0.7500	0.8750	4	X	 
26	12	N (N)	6	N	Y	0.6964	1.0000	3	O	 
27	12	N (N)	6	N	Y	0.6309	1.0000	3	O	 
28	12	N (N)	5	N	Y	0.7500	1.0000	4	X	 
29	10	Y (Y)	6	N	Y	0.5259	0.9736	3	O	 
30	10	Y (Y)	5	N	Y	0.2888	0.9473	2	X	 
31	10	N (N)	6	N	Y	0.8253	0.8333	4	X	 
32	9	Y (Y)	6	N	Y	0.6148	0.8421	3	O	 
33	9	N (N)	5	N	Y	0.7500	0.9375	4	X	 
34	9	N (N)	5	N	Y	0.3015	0.9444	2	X	 
35	6	Y (Y)	4	N	Y	0.7500	0.9375	4	X	 
36	5	N (N)	6	N	Y	0.5000	0.8750	3	O	 
37	4	Y (Y)	5	N	Y	0.3185	1.0000	2	X	 
38	2	Y (Y)	6	Y	Y	0.8518	0.9473	4	X	 
39	2	Y (Y)	6	N	Y	0.6222	1.0000	3	O	 
40	2	Y (Y)	6	N	Y	0.5175	1.0000	3	O	 
41	1	Y (Y)	6	Y	Y	0.9703	0.7894	4	X	 
42	1	Y (Y)	6	N	Y	0.7472	0.8421	4	X	 
43	1	N (N)	6	N	Y	0.5555	1.0000	3	X	 
44	1	N (N)	6	N	Y	0.5000	0.8750	3	X	 
