Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PUB2107-01-00	정책학개론	3	홍순만	화8,9,목7	연402	88	117	75 (Y)	0	45	30	13	O	36	2	36	24.91
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.8888	0.7222	4	O	 
2	36	Y (Y)	6	N	Y	0.9285	1.0000	4	O	 
3	36	Y (Y)	6	N	Y	0.8333	0.6666	4	O	 
4	36	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
5	36	Y (Y)	6	N	Y	0.6666	0.6666	3	O	 
6	36	Y (Y)	6	N	Y	0.6468	1.0000	3	O	 
7	36	Y (Y)	6	N	N	0.7142	1.0000	3	O	 
8	36	Y (Y)	5	N	Y	0.6518	0.9473	3	O	 
9	36	Y (Y)	5	N	Y	0.6031	1.0000	3	O	 
10	36	Y (Y)	4	N	Y	0.7619	1.0000	3	O	 
11	36	Y (Y)	4	N	Y	0.7142	1.0000	3	O	 
12	36	Y (Y)	4	N	Y	0.6944	1.0000	3	O	 
13	36	Y (Y)	3	Y	Y	0.9841	0.9444	4	O	 
14	36	Y (Y)	3	Y	N	1.0000	1.0000	4	O	 
15	36	Y (Y)	2	Y	N	0.9523	0.6666	4	O	 
16	36	Y (Y)	2	N	Y	1.0000	0.1666	4	O	 
17	36	Y (Y)	1	Y	Y	0.9777	0.8421	4	O	 
18	36	N (N)	6	Y	Y	0.8666	0.8421	4	O	 
19	36	N (N)	6	N	Y	0.3777	0.9736	2	O	 
20	35	Y (Y)	6	N	Y	0.7222	1.0000	3	O	 
21	35	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
22	34	Y (Y)	6	N	Y	0.6567	1.0000	3	O	 
23	34	Y (Y)	6	N	Y	0.5793	0.5000	3	O	 
24	33	Y (Y)	6	Y	Y	0.9365	0.5555	4	O	 
25	33	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
26	33	N (N)	6	N	Y	0.6190	0.8333	3	O	 
27	32	Y (Y)	6	N	Y	0.6547	0.7777	3	O	 
28	32	Y (Y)	3	Y	N	0.8809	1.0000	4	O	 
29	30	Y (Y)	6	N	Y	0.6587	0.8333	3	O	 
30	30	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
31	29	Y (Y)	6	N	Y	0.4484	1.0000	2	O	 
32	29	Y (Y)	5	N	Y	0.4126	0.8333	2	O	 
33	28	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
34	28	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
35	28	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
36	28	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
37	27	Y (Y)	6	N	Y	0.8253	1.0000	3	O	 
38	27	Y (Y)	6	N	Y	0.5037	0.9473	3	O	 
39	27	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
40	27	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
41	27	Y (Y)	6	N	Y	0.3730	0.8333	2	O	 
42	27	Y (Y)	6	N	Y	0.3730	0.8333	2	O	 
43	27	Y (Y)	5	N	Y	0.4087	1.0000	2	O	 
44	26	Y (Y)	6	Y	Y	1.0000	0.8888	4	O	 
45	26	Y (Y)	6	N	Y	0.5714	0.5000	3	O	 
46	26	Y (Y)	6	N	Y	0.4206	1.0000	2	O	 
47	26	Y (Y)	6	N	Y	0.4166	0.9722	2	O	 
48	26	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
49	26	Y (Y)	6	N	Y	0.2380	1.0000	2	O	 
50	26	Y (Y)	4	N	Y	0.4484	1.0000	2	O	 
51	25	Y (Y)	6	N	Y	0.4642	1.0000	2	O	 
52	25	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
53	25	Y (Y)	6	N	Y	0.4365	1.0000	2	O	 
54	25	Y (Y)	6	N	Y	0.4325	0.9722	2	O	 
55	25	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
56	25	Y (Y)	6	N	Y	0.4166	0.8611	2	O	 
57	25	Y (Y)	6	N	Y	0.4166	0.8611	2	O	 
58	25	Y (Y)	6	N	Y	0.3809	0.8333	2	O	 
59	25	Y (Y)	5	N	Y	0.4484	1.0000	2	O	 
60	24	Y (Y)	6	N	Y	0.7936	1.0000	4	X	 
61	24	Y (Y)	6	N	Y	0.4206	0.8333	2	O	 
62	24	Y (Y)	5	N	Y	0.4523	1.0000	2	O	 
63	24	Y (Y)	5	N	Y	0.4087	0.8611	2	O	 
64	23	Y (Y)	6	N	Y	0.4563	0.9166	2	O	 
65	23	Y (Y)	6	N	Y	0.3730	0.8888	2	O	 
66	23	Y (Y)	6	N	Y	0.3730	0.8333	2	O	 
67	23	N (N)	6	N	Y	0.7111	0.7894	4	X	 
68	22	Y (Y)	6	N	Y	0.7555	0.9473	4	X	 
69	22	Y (Y)	6	N	Y	0.4484	0.9166	2	O	 
70	22	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
71	22	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
72	22	Y (Y)	6	N	Y	0.3849	1.0000	2	O	 
73	22	Y (Y)	6	N	Y	0.3730	1.0000	2	O	 
74	22	Y (Y)	5	N	Y	0.4206	1.0000	2	O	 
75	22	Y (Y)	5	N	Y	0.4007	0.8611	2	O	 
76	22	Y (Y)	5	N	Y	0.3809	0.8333	2	O	 
77	21	Y (Y)	6	N	Y	0.4404	1.0000	2	O	 
78	21	Y (Y)	6	N	Y	0.4365	1.0000	2	O	 
79	21	Y (Y)	6	N	Y	0.4126	1.0000	2	O	 
80	21	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
81	21	Y (Y)	6	N	Y	0.2936	0.9444	2	X	 
82	21	Y (Y)	5	N	Y	0.4007	0.9722	2	X	 
83	21	Y (Y)	5	N	Y	0.3888	0.8333	2	X	 
84	21	Y (Y)	5	N	Y	0.3851	0.9736	2	X	 
85	20	Y (Y)	6	Y	Y	0.8666	0.7368	4	X	 
86	20	Y (Y)	6	Y	Y	0.8412	0.8333	4	X	 
87	20	Y (Y)	6	N	Y	0.8212	0.9473	4	X	 
88	20	Y (Y)	6	N	Y	0.7698	0.6666	4	X	 
89	20	Y (Y)	6	N	Y	0.4682	1.0000	2	X	 
90	20	Y (Y)	6	N	Y	0.4325	1.0000	2	X	 
91	20	Y (Y)	6	N	Y	0.4325	1.0000	2	X	 
92	20	Y (Y)	6	N	Y	0.4325	1.0000	2	X	 
93	20	Y (Y)	6	N	Y	0.4126	1.0000	2	X	 
94	20	Y (Y)	6	N	Y	0.4087	1.0000	2	X	 
95	20	Y (Y)	6	N	Y	0.3968	1.0000	2	X	 
96	20	Y (Y)	6	N	Y	0.2857	0.9444	2	X	 
97	20	Y (Y)	5	N	Y	0.4722	1.0000	2	X	 
98	20	N (N)	6	N	Y	0.5555	0.8421	3	O	 
99	20	N (N)	6	N	Y	0.4166	0.8333	2	X	 
100	19	Y (Y)	6	N	Y	0.8492	1.0000	4	X	 
101	19	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
102	19	Y (Y)	6	N	Y	0.3650	0.7777	2	X	 
103	19	Y (Y)	6	N	Y	0.2777	1.0000	2	X	 
