Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PUB4103-01-00	정부규제론	3	이은미	월7,8,수8	연211	70	52	0 (Y)	0	0	0	0	O	36	1	20	8.79
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	N (N)	6	N	Y	0.7460	0.8333	4	O	 
2	18	N (N)	6	N	Y	0.5714	0.8611	3	O	 
3	16	N (N)	6	N	Y	0.6666	1.0000	3	O	 
4	15	N (N)	6	N	Y	0.8730	1.0000	4	O	 
5	15	N (N)	5	Y	Y	0.8888	0.9444	4	O	 
6	15	N (N)	5	N	Y	0.5317	1.0000	3	O	 
7	15	N (N)	5	N	Y	0.5238	0.8333	3	O	 
8	14	N (N)	6	N	Y	0.6269	1.0000	3	O	 
9	14	N (N)	6	N	Y	0.4126	0.8333	3	O	 
10	13	N (N)	6	N	Y	0.7851	1.0000	4	O	 
11	13	N (N)	6	N	Y	0.7555	0.8947	4	O	 
12	13	N (N)	6	N	Y	0.6507	0.8333	3	O	 
13	13	N (N)	6	N	Y	0.6111	0.8333	3	O	 
14	13	N (N)	6	N	Y	0.5952	1.0000	3	O	 
15	13	N (N)	6	N	Y	0.5714	0.9722	3	O	 
16	12	N (N)	6	N	Y	0.7380	1.0000	4	O	 
17	12	N (N)	6	N	Y	0.5873	1.0000	3	O	 
18	12	N (N)	6	N	Y	0.5555	0.8333	3	O	 
19	11	N (N)	6	N	Y	0.5357	1.0000	3	O	 
20	10	N (N)	6	N	Y	0.8174	0.6666	4	O	 
21	10	N (N)	6	N	Y	0.7698	0.7777	4	O	 
22	10	N (N)	6	N	Y	0.7222	0.8333	4	O	 
23	10	N (N)	6	N	Y	0.5555	0.9722	3	O	 
24	10	N (N)	6	N	Y	0.5317	0.9166	3	O	 
25	10	N (N)	6	N	Y	0.5000	0.8750	3	O	 
26	10	N (N)	5	N	Y	0.7936	1.0000	4	O	 
27	10	N (N)	5	N	Y	0.6746	1.0000	3	O	 
28	9	N (N)	6	N	Y	0.5714	1.0000	3	O	 
29	9	N (N)	5	N	Y	0.7380	0.8333	3	O	 
30	8	N (N)	6	N	Y	0.9761	1.0000	4	O	 
31	8	N (N)	6	N	Y	0.7301	0.8333	3	O	 
32	8	N (N)	6	N	Y	0.5555	1.0000	3	O	 
33	7	N (N)	6	N	Y	0.8148	0.9473	4	O	 
34	7	N (N)	6	N	Y	0.6349	0.8333	3	O	 
35	6	N (N)	6	N	Y	0.6547	1.0000	3	O	 
36	6	N (N)	6	N	Y	0.6428	1.0000	3	O	 
37	6	N (N)	5	N	Y	0.7857	0.8333	4	O	 
38	5	N (N)	6	N	Y	0.8253	0.8333	4	O	 
39	4	Y (Y)	6	N	Y	0.8253	0.8333	4	O	 
40	4	N (N)	6	N	Y	0.8412	1.0000	4	O	 
41	4	N (N)	6	N	Y	0.6904	0.8888	3	O	 
42	4	N (N)	6	N	Y	0.5952	0.8333	3	O	 
43	3	N (N)	6	N	Y	0.6269	1.0000	3	O	 
44	2	N (N)	6	N	Y	0.8472	1.0000	4	O	 
45	2	N (N)	6	N	Y	0.7936	1.0000	4	O	 
46	2	N (N)	6	N	Y	0.3015	1.0000	2	O	 
47	1	N (N)	6	N	Y	0.7698	1.0000	4	O	 
48	1	N (N)	6	N	Y	0.7222	0.6666	4	O	 
49	1	N (N)	6	N	Y	0.5555	1.0000	3	O	 
50	1	N (N)	6	N	Y	0.5476	1.0000	3	O	 
51	1	N (N)	6	N	Y	0.3888	1.0000	2	O	 
52	1	N (N)	5	N	Y	0.8630	1.0000	4	O	 
