Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
RUS3103-01-00	고급러시아어연습(1)	3	아르히포바율리야	수10,금9,10	위205	40	24	0 (N)	0	0	0	0	O	36	1	35	5.42
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	N (N)	3	N	Y	1.0000	0.6666	4	O	 
2	14	Y (Y)	6	N	Y	0.5592	0.9736	3	O	 
3	13	Y (Y)	6	N	Y	0.7259	0.9473	4	O	 
4	12	Y (N)	6	Y	Y	0.8968	1.0000	4	O	 
5	10	Y (Y)	6	N	Y	0.5333	0.7894	3	O	 
6	10	Y (Y)	4	N	Y	0.6296	0.3157	4	O	 
7	6	Y (Y)	6	N	Y	0.4962	0.9473	3	O	 
8	5	Y (Y)	6	N	Y	0.7777	0.9473	4	O	 
9	4	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
10	4	Y (Y)	6	N	Y	0.6000	0.9473	4	O	 
11	3	Y (Y)	6	N	Y	0.4851	0.7894	3	O	 
12	2	Y (Y)	6	N	Y	0.5666	0.9210	3	O	 
13	1	Y (Y)	6	Y	Y	0.7407	0.7894	4	O	 
14	1	Y (Y)	6	N	Y	0.8222	0.9473	4	O	 
15	1	Y (Y)	6	N	Y	0.6444	0.7894	3	O	 
16	1	Y (Y)	6	N	Y	0.6000	0.9736	3	O	 
17	1	Y (Y)	6	N	Y	0.5851	0.8684	3	O	 
18	1	Y (Y)	6	N	Y	0.5703	0.9736	3	O	 
19	1	Y (Y)	6	N	Y	0.5629	0.9736	3	O	 
20	1	Y (Y)	6	N	Y	0.5481	0.9736	3	O	 
21	1	Y (Y)	6	N	Y	0.5259	1.0000	3	O	 
22	1	Y (Y)	6	N	Y	0.5037	0.7105	3	O	 
23	1	Y (Y)	6	N	Y	0.4962	1.0000	3	O	 
24	1	N (N)	6	N	Y	0.2857	0.7777	2	O	 
