Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
RUS4117-01-00	러시아공연예술	3	조주관	월1,2,수1	외02	39	46	0 (N)	0	0	0	0	O	36	1	24	8.37
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	N (N)	6	N	Y	0.4074	1.0000	2	O	 
2	22	N (N)	6	N	Y	0.4629	0.9210	2	O	 
3	20	Y (Y)	6	N	Y	0.8666	0.9473	4	O	 
4	20	Y (Y)	5	Y	Y	0.8962	0.6315	4	O	 
5	20	N (N)	6	N	Y	0.7777	0.9473	4	O	 
6	19	N (N)	6	N	Y	0.8814	0.8333	4	O	 
7	18	N (N)	6	Y	Y	0.9047	0.8888	4	O	 
8	18	N (N)	6	N	Y	0.9037	1.0000	4	O	 
9	17	N (N)	6	N	Y	1.0000	1.0000	4	O	 
10	16	N (N)	5	N	Y	0.5148	0.7894	3	O	 
11	15	Y (Y)	6	Y	Y	0.8962	1.0000	4	O	 
12	14	Y (Y)	6	N	Y	0.7629	0.6842	4	O	 
13	14	N (N)	6	N	Y	0.5317	1.0000	3	O	 
14	12	N (N)	6	N	Y	1.0000	0.1578	4	O	 
15	10	Y (Y)	6	N	Y	0.4259	0.9736	2	O	 
16	10	Y (Y)	4	N	Y	0.6212	0.7894	3	O	 
17	10	N (N)	6	N	Y	1.0000	1.0000	4	O	 
18	9	Y (Y)	5	N	Y	0.7407	0.6315	4	O	 
19	9	N (N)	6	N	Y	0.6904	0.9444	3	O	 
20	9	N (N)	6	N	Y	0.6740	1.0000	3	O	 
21	8	Y (Y)	6	N	Y	0.6074	0.9473	3	O	 
22	7	Y (Y)	6	N	Y	0.5185	0.9473	3	O	 
23	6	N (N)	6	N	Y	0.5317	0.9444	3	O	 
24	5	Y (Y)	6	Y	Y	0.8740	0.9473	4	O	 
25	5	Y (Y)	6	Y	Y	0.8518	0.9473	4	O	 
26	5	Y (Y)	6	N	Y	0.3962	0.7631	2	O	 
27	5	N (N)	6	N	Y	0.6468	1.0000	3	O	 
28	4	Y (Y)	6	N	Y	0.6592	0.7894	3	O	 
29	4	N (N)	6	N	Y	0.7222	1.0000	3	O	 
30	3	Y (Y)	6	N	Y	0.5296	0.9736	3	O	 
31	3	Y (Y)	6	N	Y	0.3851	0.7894	2	O	 
32	3	N (N)	6	Y	Y	0.8296	0.9473	4	O	 
33	3	N (N)	6	N	Y	0.8370	1.0000	4	O	 
34	3	N (N)	6	N	Y	0.8174	0.9444	4	O	 
35	3	N (N)	6	N	Y	0.7936	0.9444	4	O	 
36	2	Y (Y)	6	N	Y	0.4259	0.9736	2	O	 
37	1	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
38	1	Y (Y)	6	N	Y	0.6370	0.8421	3	O	 
39	1	Y (Y)	6	N	Y	0.5925	0.7894	3	O	 
40	1	Y (Y)	6	N	Y	0.4333	0.9736	2	X	 
41	1	Y (Y)	6	N	Y	0.4111	0.7105	2	X	 
42	1	Y (Y)	5	Y	Y	0.8444	0.9473	4	X	 
43	1	Y (Y)	5	N	Y	0.5925	0.7894	3	X	 
44	1	N (N)	6	Y	Y	0.9841	0.5000	4	X	 
45	1	N (N)	6	Y	Y	0.9523	0.3333	4	X	 
46	1	N (N)	6	N	Y	0.7698	1.0000	4	X	 
