Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
SLS4205-01-00	스포츠정책및법	3	장달영	금7,8,9	체104	30	64	0 (N)	0	0	0	0	O	36	1	36	10.33
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.5000	4	O	 
2	35	N (N)	3	Y	Y	0.9444	1.0000	4	O	 
3	30	N (N)	6	Y	Y	1.0000	0.9473	4	O	 
4	26	N (N)	6	N	Y	0.6000	0.7894	3	O	 
5	25	N (N)	6	Y	Y	0.8222	1.0000	4	O	 
6	22	N (N)	5	N	Y	1.0000	1.0000	4	O	 
7	21	N (N)	6	N	Y	0.6666	1.0000	4	O	 
8	18	N (N)	6	Y	Y	0.9285	1.0000	4	O	 
9	18	N (N)	6	Y	Y	0.8809	0.7222	4	O	 
10	16	N (N)	6	Y	Y	0.9285	1.0000	4	O	 
11	16	N (N)	6	N	Y	1.0000	1.0000	4	O	 
12	16	N (N)	6	N	Y	0.6031	0.8333	3	O	 
13	15	N (N)	6	N	Y	0.7539	0.8333	4	O	 
14	15	N (N)	6	N	Y	0.6984	0.6666	4	O	 
15	15	N (N)	3	Y	Y	1.0000	0.0000	4	O	 
16	14	N (N)	6	N	Y	0.5952	1.0000	4	O	 
17	13	N (N)	6	N	Y	0.7936	0.8333	4	O	 
18	13	N (N)	6	N	Y	0.7698	1.0000	4	O	 
19	13	N (N)	6	N	Y	0.5634	0.5000	3	O	 
20	13	N (N)	6	N	Y	0.4761	0.8888	3	O	 
21	12	N (N)	5	N	Y	0.8253	1.0000	4	O	 
22	11	N (N)	6	N	Y	0.5000	0.8881	3	O	 
23	10	N (N)	6	N	Y	1.0000	0.4444	4	O	 
24	10	N (N)	6	N	Y	0.7857	1.0000	4	O	 
25	10	N (N)	6	N	Y	0.7619	0.6666	4	O	 
26	10	N (N)	6	N	Y	0.6349	1.0000	3	O	 
27	10	N (N)	6	N	Y	0.5476	0.9444	3	O	 
28	10	N (N)	6	N	Y	0.5000	0.8750	3	O	 
29	10	N (N)	6	N	Y	0.3809	1.0000	2	O	 
30	9	N (N)	6	N	Y	0.8492	1.0000	4	O	 
31	9	N (N)	6	N	Y	0.8095	0.9444	4	X	 
32	9	N (N)	6	N	Y	0.7460	0.8333	4	X	 
33	9	N (N)	6	N	Y	0.7380	1.0000	4	X	 
34	9	N (N)	6	N	Y	0.6666	0.7777	3	X	 
35	9	N (N)	6	N	Y	0.2976	0.9722	2	X	 
36	8	N (N)	6	N	Y	0.7619	0.7777	4	X	 
37	8	N (N)	6	N	Y	0.6074	0.7894	4	X	 
38	7	N (N)	6	N	Y	0.7619	0.8333	4	X	 
39	7	N (N)	6	N	Y	0.7301	0.6666	4	X	 
40	7	N (N)	6	N	Y	0.5259	0.9473	3	X	 
41	7	N (N)	6	N	Y	0.3777	1.0000	2	X	 
42	6	N (N)	6	N	Y	0.7619	0.7222	4	X	 
43	6	N (N)	6	N	Y	0.6825	1.0000	3	X	 
44	5	N (N)	6	Y	Y	0.8968	0.8333	4	X	 
45	5	N (N)	6	N	Y	0.7698	0.8888	4	X	 
46	5	N (N)	6	N	Y	0.7142	0.8333	4	X	 
47	5	N (N)	6	N	Y	0.6190	0.9166	3	X	 
48	5	N (N)	6	N	Y	0.5515	0.6666	3	X	 
49	5	N (N)	6	N	Y	0.2698	0.7777	2	X	 
50	5	N (N)	5	N	Y	0.8234	1.0000	4	X	 
51	4	N (N)	6	N	Y	0.2962	0.3684	3	X	* 
52	4	N (N)	6	N	Y	0.6904	1.0000	4	X	 
53	4	N (N)	6	N	Y	0.2698	1.0000	2	X	 
54	3	N (N)	6	N	Y	0.7619	0.8333	4	X	 
55	3	N (N)	6	N	Y	0.7619	0.7777	4	X	 
56	3	N (N)	6	N	Y	0.5079	0.8055	3	X	 
57	3	N (N)	6	N	Y	0.4761	0.8333	3	X	 
58	2	N (N)	6	N	Y	0.7857	0.9444	4	X	 
59	2	N (N)	6	N	Y	0.6746	1.0000	4	X	 
60	1	N (N)	6	Y	Y	1.0000	0.0555	4	X	 
61	1	N (N)	6	N	Y	0.9583	0.8333	4	X	 
62	1	N (N)	6	N	Y	0.6190	0.8888	3	X	 
63	1	N (N)	6	N	Y	0.2539	0.8333	2	X	 
64	1	N (N)	5	N	Y	0.5555	0.6666	3	X	 
