Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
STA3109-01-00	수리통계학(2)	3	강승호	월7,8,수8	상본B112	100	100	60 (N)	0	10	55	35	O	18	1	18	14.55
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	Y	Y	0.9900	0.8888	4	O	 
2	18	Y (Y)	6	Y	N	1.0000	1.0000	4	O	 
3	18	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
4	18	Y (Y)	6	N	Y	1.0000	0.6666	4	O	 
5	18	Y (N)	6	N	Y	0.9126	1.0000	4	O	 
6	18	Y (N)	6	N	Y	0.8730	0.8333	4	O	 
7	18	Y (N)	6	N	Y	0.8253	0.6666	4	O	 
8	18	Y (Y)	6	N	Y	0.7539	1.0000	4	O	 
9	18	Y (N)	6	N	Y	0.7460	0.8333	4	O	 
10	18	Y (Y)	6	N	Y	0.6349	1.0000	3	O	 
11	18	Y (N)	6	N	Y	0.6349	1.0000	3	O	 
12	18	Y (Y)	6	N	Y	0.6111	1.0000	4	O	 
13	18	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
14	18	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
15	18	Y (Y)	6	N	Y	0.5793	0.8333	3	O	 
16	18	Y (Y)	6	N	Y	0.5793	0.8333	3	O	 
17	18	Y (Y)	6	N	Y	0.5396	1.0000	3	O	 
18	18	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
19	18	Y (Y)	6	N	Y	0.4841	0.8611	3	O	 
20	18	Y (Y)	6	N	Y	0.4563	0.8611	3	O	 
21	18	Y (N)	5	N	Y	0.7936	1.0000	4	O	 
22	18	Y (Y)	5	N	Y	0.5555	0.8888	3	O	 
23	18	Y (Y)	5	N	Y	0.5396	0.8055	3	O	 
24	18	Y (Y)	5	N	Y	0.4166	0.6666	3	O	 
25	18	Y (Y)	5	N	N	0.8809	0.8333	4	O	 
26	18	Y (Y)	4	N	Y	0.5000	1.0000	3	O	 
27	18	Y (Y)	3	N	N	1.0000	0.5000	4	O	 
28	18	Y (Y)	3	N	N	1.0000	0.3333	4	O	 
29	18	Y (N)	2	Y	N	1.0000	0.7222	4	O	 
30	18	N (N)	6	N	Y	1.0000	0.9473	4	O	 
31	18	N (N)	6	N	Y	0.8074	0.9473	4	O	 
32	18	N (N)	5	Y	Y	1.0000	0.8333	4	O	 
33	18	N (N)	5	N	Y	0.8809	1.0000	4	O	 
34	18	N (N)	4	N	Y	0.9444	1.0000	4	O	 
35	17	Y (Y)	6	N	Y	0.6190	1.0000	3	O	 
36	17	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
37	17	Y (Y)	6	N	Y	0.5396	0.8611	3	O	 
38	17	Y (Y)	6	N	Y	0.5317	0.9166	3	O	 
39	17	Y (Y)	6	N	Y	0.5238	1.0000	3	O	 
40	17	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
41	17	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
42	17	Y (Y)	6	N	Y	0.4920	0.8611	3	O	 
43	17	Y (N)	5	N	Y	0.8174	1.0000	4	O	 
44	17	N (N)	6	N	Y	0.5714	1.0000	3	O	 
45	16	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
46	16	Y (N)	6	N	Y	0.8253	0.8333	4	O	 
47	16	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
48	16	Y (Y)	6	N	Y	0.5396	0.9166	3	O	 
49	16	Y (Y)	6	N	Y	0.5396	0.8333	3	O	 
50	16	Y (Y)	6	N	Y	0.5317	0.8611	3	O	 
51	16	Y (Y)	6	N	Y	0.5317	0.8611	3	O	 
52	16	Y (Y)	6	N	Y	0.5238	1.0000	3	O	 
53	16	Y (Y)	6	N	Y	0.5079	0.8611	3	O	 
54	16	Y (Y)	6	N	Y	0.5079	0.7222	3	O	 
55	16	Y (Y)	6	N	Y	0.4880	0.8611	3	O	 
56	16	Y (Y)	6	N	Y	0.4761	1.0000	3	O	 
57	16	Y (N)	5	N	Y	0.8234	1.0000	4	O	 
58	15	Y (Y)	6	Y	Y	0.9246	1.0000	4	O	 
59	15	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
60	15	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
61	15	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
62	15	Y (Y)	6	N	Y	0.5396	0.9444	3	O	 
63	15	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
64	15	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
65	15	Y (Y)	6	N	Y	0.4841	1.0000	3	O	 
66	15	Y (N)	3	N	Y	0.9523	0.3333	4	O	 
67	15	N (N)	6	N	Y	0.9682	1.0000	4	O	 
68	14	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
69	14	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
70	14	Y (Y)	6	N	Y	0.6190	0.8333	3	O	 
71	14	Y (Y)	6	N	Y	0.5634	0.6666	3	O	 
72	14	Y (N)	6	N	Y	0.5317	1.0000	3	O	 
73	14	Y (Y)	5	N	Y	0.4603	1.0000	3	O	 
74	14	N (N)	5	N	Y	1.0000	1.0000	4	O	 
75	13	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
76	13	Y (N)	6	N	Y	0.9682	1.0000	4	O	 
77	13	Y (N)	6	N	Y	0.7619	1.0000	4	O	 
78	13	N (N)	6	N	Y	0.7460	0.8333	4	O	 
79	12	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
80	12	Y (Y)	6	N	Y	0.8472	0.8333	4	O	 
81	11	Y (Y)	6	N	Y	0.7281	0.9444	4	X	 
82	11	Y (Y)	6	N	Y	0.5158	0.8888	3	O	 
83	11	Y (Y)	5	N	Y	0.5000	0.8750	3	O	 
84	11	Y (N)	4	N	Y	0.7703	0.9473	4	X	 
85	10	Y (Y)	6	N	Y	0.8015	1.0000	4	X	 
86	10	Y (Y)	6	N	Y	0.5396	1.0000	3	O	 
87	10	Y (Y)	6	N	Y	0.5396	0.8888	3	O	 
88	10	Y (N)	6	N	Y	0.5238	0.8333	3	O	 
89	9	Y (N)	6	N	Y	0.8253	1.0000	4	X	 
90	8	Y (N)	6	Y	Y	0.8962	1.0000	4	X	 
91	8	Y (Y)	6	N	N	0.7936	1.0000	4	X	 
92	7	Y (Y)	6	N	Y	0.7380	0.6666	4	X	 
93	7	Y (Y)	6	N	Y	0.4444	0.8333	3	O	 
94	6	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
95	5	Y (Y)	6	N	Y	0.7142	0.8333	4	X	 
96	2	Y (Y)	4	N	Y	0.8095	0.9444	4	X	 
97	2	N (N)	6	N	Y	0.7936	0.8333	4	X	 
98	1	Y (Y)	6	Y	N	0.9126	1.0000	4	X	 
99	1	Y (N)	6	N	Y	0.7619	1.0000	4	X	 
100	1	N (N)	6	N	Y	1.0000	0.0526	4	X	 
