Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
TAP3002-01-00	LEADERSHIP SEMINAR IN TECHNO-ART ENTREPRENEURSHIP	3	강연아,이기헌,김영인	월7,8,9	I진B203	70	67	70 (Y)	0	0	55	15	X	36	1	36	9
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	2	Y	Y	0.9523	1.0000	4	O	 
2	36	Y (Y)	2	Y	Y	0.9523	1.0000	4	O	 
3	36	Y (Y)	2	Y	Y	0.8571	1.0000	4	O	 
4	36	Y (Y)	1	Y	Y	1.0000	1.0000	4	O	 
5	25	Y (Y)	5	N	Y	0.5476	0.9166	3	O	 
6	21	Y (Y)	6	N	Y	0.8095	1.0000	4	O	 
7	20	Y (Y)	6	N	Y	0.7857	0.9473	4	O	 
8	20	Y (Y)	5	Y	Y	0.9285	0.8333	4	O	 
9	20	Y (Y)	5	N	Y	0.7539	0.8611	3	O	 
10	18	Y (Y)	6	N	Y	0.6269	0.8888	3	O	 
11	17	Y (Y)	5	N	Y	0.8095	0.8333	4	O	 
12	16	Y (Y)	6	N	Y	0.4563	0.8611	3	O	 
13	15	Y (Y)	6	N	Y	0.5317	0.9166	3	O	 
14	15	Y (Y)	5	N	Y	0.5238	0.8611	3	O	 
15	14	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
16	14	Y (Y)	6	N	Y	0.7063	0.7894	3	O	 
17	14	Y (Y)	6	N	Y	0.4722	0.6944	3	O	 
18	12	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
19	11	Y (Y)	6	N	Y	0.7063	0.8611	3	O	 
20	10	Y (Y)	6	N	Y	0.6428	1.0000	4	O	 
21	10	Y (Y)	6	N	Y	0.6031	0.9166	3	O	 
22	10	Y (Y)	5	N	Y	0.6428	0.8611	3	O	 
23	10	Y (Y)	2	N	Y	0.4285	0.3333	3	O	 
24	9	Y (Y)	6	N	Y	0.6765	0.9166	3	O	 
25	9	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
26	8	Y (Y)	6	N	Y	0.7321	1.0000	3	O	 
27	8	Y (Y)	6	N	Y	0.6646	0.8333	3	O	 
28	7	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
29	7	Y (Y)	5	N	Y	0.6825	0.8333	3	O	 
30	6	Y (Y)	6	N	Y	0.4563	0.6666	3	O	 
31	6	Y (Y)	5	N	Y	0.5873	0.7777	3	O	 
32	5	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
33	5	Y (Y)	6	N	Y	0.6190	0.8333	3	O	 
34	5	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
35	5	Y (Y)	6	N	Y	0.5198	1.0000	3	O	 
36	5	Y (Y)	5	N	Y	0.5476	1.0000	3	O	 
37	4	Y (Y)	6	N	Y	0.8253	0.8333	4	O	 
38	4	Y (Y)	6	N	Y	0.6686	0.8333	3	O	 
39	4	Y (Y)	6	N	Y	0.6587	0.9444	3	O	 
40	3	Y (Y)	6	N	Y	0.8730	0.8888	4	O	 
41	3	Y (Y)	6	N	Y	0.8730	0.8333	4	O	 
42	3	Y (Y)	6	N	Y	0.8253	0.9444	4	O	 
43	3	Y (Y)	6	N	Y	0.7619	0.8888	3	O	 
44	3	Y (Y)	6	N	Y	0.7619	0.8333	4	O	 
45	3	Y (Y)	6	N	Y	0.7579	0.8333	3	O	 
46	3	Y (Y)	6	N	Y	0.7301	1.0000	4	X	 
47	3	Y (Y)	6	N	Y	0.7063	1.0000	4	X	 
48	3	Y (Y)	6	N	Y	0.6825	0.9444	4	X	 
49	3	Y (Y)	6	N	Y	0.6706	0.8333	3	O	 
50	3	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
51	3	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
52	3	Y (Y)	6	N	Y	0.5476	0.8611	3	O	 
53	3	Y (Y)	5	N	Y	0.7698	0.8333	4	X	 
54	3	Y (Y)	5	N	Y	0.7341	1.0000	3	O	 
55	3	Y (Y)	5	N	Y	0.6904	1.0000	3	O	 
56	3	Y (Y)	5	N	Y	0.6111	0.6666	3	O	 
57	3	Y (Y)	5	N	Y	0.5753	0.9444	3	O	 
58	2	Y (Y)	6	N	Y	0.8174	0.9444	4	X	 
59	2	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
60	2	Y (Y)	6	N	Y	0.6349	0.6111	3	O	 
61	2	Y (Y)	6	N	Y	0.6111	0.0000	4	X	 
62	2	Y (Y)	6	N	Y	0.4404	0.5277	3	O	 
63	2	Y (Y)	5	N	Y	0.5000	0.6944	3	O	 
64	1	Y (Y)	6	N	Y	0.5952	0.9444	3	O	 
65	1	Y (Y)	6	N	Y	0.5119	1.0000	3	O	 
66	1	Y (Y)	5	N	Y	0.8710	0.8333	4	X	 
67	1	Y (Y)	5	N	Y	0.6507	0.8333	3	O	 
