Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
TTP2006-01-00	교육심리	2	원영실	화8,9	교517	36	45	0 (N)	0	0	0	0	O	36	3	36	15.02
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	2	N	Y	1.0000	1.0000	4	O	 
2	35	N (N)	3	N	Y	0.5428	1.0000	3	O	 
3	25	N (N)	5	N	Y	1.0000	1.0000	4	O	 
4	23	N (N)	6	N	Y	0.2936	1.0000	2	O	 
5	21	N (N)	6	N	Y	0.2936	1.0000	2	O	 
6	21	N (N)	6	N	Y	0.2000	0.7894	2	O	 
7	20	N (N)	6	N	Y	0.6031	1.0000	3	O	 
8	20	N (N)	6	N	Y	0.5674	0.9444	3	O	 
9	20	N (N)	4	N	Y	1.0000	0.9444	4	O	 
10	19	N (N)	6	N	Y	0.5793	1.0000	3	O	 
11	19	N (N)	5	N	Y	0.4444	0.6315	3	O	 
12	17	N (N)	6	N	Y	0.2857	0.8888	2	O	 
13	17	N (N)	6	N	Y	0.2444	0.8421	2	O	 
14	17	N (N)	5	N	Y	0.2857	0.8888	2	O	 
15	16	N (N)	6	N	Y	0.6904	0.8333	3	O	 
16	16	N (N)	6	N	Y	0.5079	0.8333	3	O	 
17	16	N (N)	6	N	Y	0.2936	1.0000	2	O	 
18	15	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
19	15	N (N)	6	Y	Y	0.9111	1.0000	4	O	 
20	15	N (N)	6	N	Y	0.7925	0.9473	4	O	 
21	15	N (N)	6	N	Y	0.7666	0.9473	4	O	 
22	15	N (N)	6	N	Y	0.6222	0.9473	3	O	 
23	15	N (N)	6	N	Y	0.5476	0.6666	3	O	 
24	15	N (N)	6	N	Y	0.5396	1.0000	3	O	 
25	15	N (N)	6	N	Y	0.5396	1.0000	3	O	 
26	15	N (N)	4	N	Y	0.9407	1.0000	4	O	 
27	14	N (N)	6	N	Y	0.7037	0.9473	4	O	 
28	14	N (N)	6	N	Y	0.2518	0.8421	2	O	 
29	14	N (N)	6	N	Y	0.1904	0.7777	2	O	 
30	13	N (N)	6	N	Y	0.6666	1.0000	4	O	 
31	13	N (N)	6	N	Y	0.5396	0.8333	3	O	 
32	13	N (N)	6	N	Y	0.4962	0.7894	3	O	 
33	13	N (N)	6	N	Y	0.4629	0.6315	3	O	 
34	11	N (N)	6	N	Y	0.5000	0.8750	3	O	 
35	10	N (N)	6	N	Y	0.9603	1.0000	4	O	 
36	10	N (N)	6	N	Y	0.5000	0.8750	3	O	 
37	10	N (N)	6	N	Y	0.5000	0.8750	3	X	 
38	9	N (N)	6	N	Y	0.5000	0.8750	3	X	 
39	9	N (N)	6	N	Y	0.5000	0.8750	3	X	 
40	7	N (N)	6	N	Y	0.4111	0.9736	2	X	 
41	5	N (N)	6	Y	Y	0.8857	1.0000	4	X	 
42	5	N (N)	6	N	Y	0.7620	0.6842	4	X	 
43	5	N (N)	6	N	Y	0.6984	1.0000	4	X	 
44	5	N (N)	6	N	Y	0.4484	0.8611	2	X	 
45	3	N (N)	6	N	Y	0.2518	0.8421	2	X	 
