Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCD1102-01-00	현대사회와심리학	3	강석민	화1,목2,3	교101	161	40	0 (N)	0	54	54	53	O	36	1	25	8.18
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	N (N)	6	N	Y	0.6357	0.9473	3	O	 
2	25	N (N)	3	Y	Y	0.9142	0.9473	4	O	 
3	24	N (N)	3	N	Y	0.3892	0.8157	2	O	 
4	23	N (N)	6	N	Y	0.6962	1.0000	4	O	 
5	21	N (N)	6	N	Y	0.3373	0.6944	2	O	 
6	16	N (N)	6	N	Y	0.3333	0.6315	2	O	 
7	15	N (N)	6	N	Y	0.4007	0.8611	2	O	 
8	15	N (N)	6	N	Y	0.3293	0.8611	2	O	 
9	15	N (N)	6	N	N	0.8888	0.6666	4	O	 
10	14	N (N)	6	N	Y	0.4178	0.9736	2	O	 
11	13	N (N)	5	N	N	0.3740	0.9736	2	O	 
12	12	N (N)	6	N	Y	0.4484	1.0000	2	O	 
13	12	N (N)	6	N	Y	0.4126	0.8888	2	O	 
14	12	N (N)	6	N	Y	0.3714	0.9473	3	O	 
15	10	N (N)	6	N	Y	0.5238	0.8333	3	O	 
16	10	N (N)	6	N	Y	0.2619	0.9444	2	O	 
17	8	N (N)	6	N	Y	0.5500	1.0000	3	O	 
18	7	N (N)	5	N	Y	0.4404	1.0000	2	O	 
19	6	N (N)	6	Y	Y	1.0000	0.5555	4	O	 
20	5	N (N)	6	Y	Y	0.9285	0.9473	4	O	 
21	5	N (N)	6	N	Y	0.7380	0.6111	4	O	 
22	5	N (N)	6	N	Y	0.3888	0.8157	2	O	 
23	3	N (N)	6	Y	Y	0.8714	0.9473	4	O	 
24	3	N (N)	6	N	Y	0.3892	0.8157	2	O	 
25	3	N (N)	6	N	Y	0.3730	0.7894	2	O	 
26	2	N (N)	6	Y	N	0.8928	0.8333	4	O	 
27	2	N (N)	6	N	Y	0.6214	0.7894	4	O	 
28	2	N (N)	6	N	Y	0.4682	1.0000	3	O	 
29	2	N (N)	6	N	Y	0.3857	0.7894	2	O	 
30	2	N (N)	6	N	Y	0.3666	0.6578	2	O	 
31	1	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
32	1	N (N)	6	Y	Y	1.0000	0.1578	4	O	 
33	1	N (N)	6	Y	N	1.0000	0.5000	4	O	 
34	1	N (N)	6	N	Y	1.0000	0.8333	4	O	 
35	1	N (N)	6	N	Y	0.8888	0.8333	4	O	 
36	1	N (N)	6	N	Y	0.4178	1.0000	2	O	 
37	1	N (N)	6	N	Y	0.4037	0.8157	2	O	 
38	1	N (N)	6	N	Y	0.4000	1.0000	2	O	 
39	1	N (N)	6	N	Y	0.3968	0.8611	2	O	 
40	1	N (N)	6	N	Y	0.2857	1.0000	2	O	 
