Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCH1102-01-00	지구와우주	3	이용재,윤석진	수5,금5,6	과B132	135	31	0 (N)	0	45	45	45	O	36	1	32	6.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	N (N)	3	Y	Y	0.9603	0.8333	4	O	 
2	20	N (N)	5	Y	Y	0.9000	0.8421	4	O	 
3	19	N (N)	4	N	Y	0.3892	0.8157	2	O	 
4	18	N (N)	6	Y	Y	0.7407	0.6315	4	O	 
5	15	N (N)	6	N	Y	0.8592	0.7894	4	O	 
6	14	N (N)	5	Y	Y	0.8714	0.9473	4	O	 
7	12	N (N)	6	Y	Y	0.8857	1.0000	4	O	 
8	12	N (N)	6	N	Y	0.6547	0.8333	3	O	 
9	11	N (N)	6	N	Y	1.0000	0.6666	4	O	 
10	7	N (N)	6	N	Y	0.3814	0.8157	2	O	 
11	5	N (N)	6	Y	Y	0.9071	0.8421	4	O	 
12	5	N (N)	5	N	Y	0.6928	0.8947	4	O	 
13	4	N (N)	6	N	Y	0.3464	0.6578	2	O	 
14	2	N (N)	6	Y	Y	0.9142	0.6842	4	O	 
15	2	N (N)	6	Y	Y	0.8714	0.9473	4	O	 
16	2	N (N)	6	N	Y	0.3849	0.9722	2	O	 
17	1	N (N)	6	Y	Y	1.0000	0.4736	4	O	 
18	1	N (N)	6	Y	Y	0.9785	0.9473	4	O	 
19	1	N (N)	6	Y	Y	0.9333	0.7894	4	O	 
20	1	N (N)	6	Y	Y	0.9111	1.0000	4	O	 
21	1	N (N)	6	Y	Y	0.8962	0.9473	4	O	 
22	1	N (N)	6	Y	Y	0.8857	0.9473	4	O	 
23	1	N (N)	6	Y	Y	0.8785	0.8421	4	O	 
24	1	N (N)	6	N	Y	0.8809	0.9444	4	O	 
25	1	N (N)	6	N	Y	0.6740	0.9473	3	O	 
26	1	N (N)	6	N	Y	0.5851	0.7894	3	O	 
27	1	N (N)	6	N	Y	0.4047	1.0000	2	O	 
28	1	N (N)	6	N	Y	0.3964	0.8157	2	O	 
29	1	N (N)	5	Y	Y	0.9214	0.8947	4	O	 
30	1	N (N)	5	N	Y	0.6928	0.9473	4	O	 
31	1	N (N)	5	N	Y	0.3333	1.0000	2	O	 
