Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCJ1110-01-00	전통음악의이해	2	이정희	월5,6	음117	72	64	0 (N)	0	24	24	24	O	36	1	35	7.36
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	N (N)	6	N	Y	0.8000	1.0000	4	O	 
2	34	N (N)	6	N	Y	0.6571	0.9473	3	O	 
3	31	N (N)	6	N	Y	0.5396	0.7380	3	O	 
4	30	N (N)	6	N	Y	0.2571	0.9473	2	O	 
5	30	N (N)	5	N	Y	0.5476	0.6190	3	O	 
6	28	N (N)	4	N	Y	0.7857	0.9473	4	O	 
7	27	N (N)	6	N	Y	0.2785	1.0000	2	O	 
8	16	N (N)	6	N	Y	0.2777	0.9444	2	O	 
9	15	N (N)	6	N	Y	0.2777	1.0000	2	O	 
10	14	N (N)	4	Y	Y	0.9142	0.9473	4	O	 
11	12	N (N)	6	N	Y	0.2420	0.6944	2	O	 
12	10	N (N)	6	N	Y	0.8214	0.9473	4	O	 
13	10	N (N)	6	N	Y	0.7785	0.9473	4	O	 
14	10	N (N)	6	N	Y	0.7185	1.0000	4	O	 
15	10	N (N)	6	N	Y	0.4007	0.9166	2	O	 
16	10	N (N)	6	N	Y	0.2698	0.8888	2	O	 
17	10	N (N)	6	N	Y	0.2619	0.8888	2	O	 
18	9	N (N)	6	N	Y	0.2619	0.7500	2	O	 
19	9	N (N)	5	Y	Y	0.9185	0.9473	4	O	 
20	8	N (N)	5	N	Y	0.5000	0.9375	3	O	 
21	7	N (N)	6	N	Y	0.2666	0.8947	2	O	 
22	7	N (N)	6	N	Y	0.2579	1.0000	2	O	 
23	7	N (N)	5	N	Y	0.5000	0.8750	3	O	 
24	5	N (N)	6	N	Y	0.7928	1.0000	4	O	 
25	5	N (N)	6	N	Y	0.7642	1.0000	4	O	 
26	5	N (N)	6	N	Y	0.2777	0.9444	2	O	 
27	4	N (N)	6	N	Y	0.5000	0.9473	3	O	 
28	4	N (N)	6	N	Y	0.3095	1.0000	2	O	 
29	4	N (N)	6	N	Y	0.3015	1.0000	2	O	 
30	4	N (N)	6	N	Y	0.2666	0.9473	2	O	 
31	4	N (N)	6	N	Y	0.2296	0.7368	2	O	 
32	4	N (N)	4	N	Y	0.7785	1.0000	4	O	 
33	3	N (N)	6	N	Y	0.7714	1.0000	4	O	 
34	3	N (N)	6	N	Y	0.4126	1.0000	2	O	 
35	3	N (N)	6	N	Y	0.3055	1.0000	2	O	 
36	3	N (N)	6	N	Y	0.2962	1.0000	2	O	 
37	3	N (N)	6	N	Y	0.2936	1.0000	2	O	 
38	2	N (N)	6	Y	Y	0.9000	0.8947	4	O	 
39	2	N (N)	6	N	Y	0.6571	0.8947	4	O	 
40	2	N (N)	6	N	Y	0.3492	0.7777	2	O	 
41	2	N (N)	6	N	Y	0.3174	1.0000	2	O	 
42	2	N (N)	6	N	Y	0.2936	1.0000	2	O	 
43	2	N (N)	6	N	Y	0.2888	1.0000	2	O	 
44	2	N (N)	6	N	Y	0.2888	0.9473	2	X	 
45	2	N (N)	6	N	Y	0.2750	1.0000	2	X	 
46	2	N (N)	6	N	Y	0.2214	0.6315	2	X	 
47	2	N (N)	5	N	Y	0.7928	1.0000	4	O	 
48	2	N (N)	4	N	Y	0.7428	1.0000	4	O	 
49	1	N (N)	6	Y	Y	1.0000	0.9473	4	O	 
50	1	N (N)	6	Y	Y	0.9682	1.0000	4	O	 
51	1	N (N)	6	Y	Y	0.8785	0.7894	4	O	 
52	1	N (N)	6	Y	Y	0.8642	1.0000	4	O	 
53	1	N (N)	6	N	Y	0.8333	1.0000	4	O	 
54	1	N (N)	6	N	Y	0.7928	1.0000	4	O	 
55	1	N (N)	6	N	Y	0.7111	0.7894	4	O	 
56	1	N (N)	6	N	Y	0.6666	1.0000	4	O	 
57	1	N (N)	6	N	Y	0.5777	0.9210	3	O	 
58	1	N (N)	6	N	Y	0.5740	0.5263	3	O	 
59	1	N (N)	6	N	Y	0.5317	0.8611	3	O	 
60	1	N (N)	6	N	Y	0.4571	1.0000	2	X	 
61	1	N (N)	6	N	Y	0.3555	0.7894	2	X	 
62	1	N (N)	6	N	Y	0.2250	0.6315	2	X	 
63	1	N (N)	6	N	Y	0.1892	0.7105	2	X	 
64	1	N (N)	6	N	N	0.4500	0.4736	3	O	 
