Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCK1124-01-00	영화로배우는중국어	3	황정일	수1,2,금1(금2)	교307(교307)	18	44	0 (N)	0	6	6	6	O	36	1	36	17.16
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	2	N	Y	0.8650	0.9444	4	O	 
2	35	N (N)	3	N	Y	0.9333	0.9473	4	O	 
3	31	N (N)	6	N	Y	0.4007	0.9722	2	O	 
4	30	N (N)	6	N	Y	0.4801	0.9722	3	O	 
5	30	N (N)	6	N	Y	0.4325	0.8611	2	O	 
6	30	N (N)	6	N	Y	0.3888	0.7777	2	O	 
7	28	N (N)	6	N	Y	0.3928	0.8055	2	O	 
8	26	N (N)	6	N	Y	0.3769	0.6388	2	O	 
9	25	N (N)	6	N	Y	0.4246	0.8888	3	O	 
10	25	N (N)	6	N	Y	0.2619	0.9444	2	O	 
11	24	N (N)	4	N	Y	0.6031	0.8333	3	O	 
12	23	N (N)	6	N	Y	0.7285	0.9473	3	O	 
13	23	N (N)	6	N	Y	0.3750	0.8684	2	X	 
14	22	N (N)	6	N	Y	0.5238	0.8611	3	O	 
15	22	N (N)	6	N	Y	0.2571	0.8947	2	X	 
16	22	N (N)	5	N	Y	0.3968	0.8611	2	X	 
17	22	N (N)	5	N	Y	0.3962	0.8684	2	X	 
18	21	N (N)	6	N	Y	0.7619	1.0000	4	O	 
19	21	N (N)	6	N	Y	0.2301	0.6111	2	X	 
20	21	N (N)	5	N	Y	0.6190	0.7777	3	O	 
21	20	N (N)	6	Y	Y	0.9365	0.6666	4	O	 
22	20	N (N)	6	N	Y	0.7936	0.7777	4	O	 
23	20	N (N)	6	N	Y	0.5238	1.0000	3	X	 
24	19	N (N)	6	N	Y	0.4404	0.5277	3	X	 
25	18	N (N)	6	N	Y	0.3296	0.9736	2	X	 
26	18	N (N)	5	N	Y	0.2460	1.0000	2	X	 
27	17	N (N)	6	N	Y	0.8015	0.9444	4	O	 
28	15	N (N)	6	N	Y	0.3678	0.8157	2	X	 
29	14	N (N)	4	N	Y	0.2658	0.9166	2	X	 
30	13	N (N)	4	Y	Y	0.9333	1.0000	4	X	 
31	11	N (N)	6	Y	Y	1.0000	0.6666	4	X	 
32	10	N (N)	6	N	Y	0.6714	1.0000	3	X	 
33	8	N (N)	6	N	Y	0.6962	0.7894	4	X	 
34	8	N (N)	6	N	Y	0.6904	0.6111	4	X	 
35	8	N (N)	6	N	Y	0.3968	0.6666	3	X	 
36	7	N (N)	6	Y	Y	0.8650	0.8888	4	X	 
37	5	N (N)	6	N	Y	0.2777	0.7777	2	X	 
38	1	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
39	1	N (N)	6	Y	Y	1.0000	0.5000	4	X	 
40	1	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
41	1	N (N)	6	Y	Y	0.9500	0.8421	4	X	 
42	1	N (N)	6	N	Y	1.0000	0.1578	4	X	 
43	1	N (N)	6	N	Y	0.9785	0.5263	4	X	 
44	1	N (N)	6	N	Y	0.3928	0.8611	2	X	 
