Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1104-03-00	농구	1	최지상	월5,6	스포츠(구기장)	24	27	0 (N)	0	8	8	8	X	36	1	36	10.78
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.9920	0.8888	4	O	 
2	36	N (N)	6	N	N	0.6349	0.8611	3	O	 
3	35	N (N)	6	Y	Y	1.0000	0.5789	4	O	 
4	26	N (N)	6	N	Y	0.5428	1.0000	3	O	 
5	26	N (N)	6	N	Y	0.2420	0.8055	2	O	 
6	25	N (N)	5	Y	Y	0.9071	0.9473	4	O	 
7	18	N (N)	6	N	Y	0.8253	1.0000	4	O	 
8	14	N (N)	6	N	Y	0.5714	1.0000	3	O	 
9	11	N (N)	6	N	Y	0.5178	0.9473	3	O	 
10	9	N (N)	6	Y	Y	1.0000	0.7894	4	O	 
11	7	N (N)	6	Y	Y	0.9285	0.9473	4	O	 
12	6	N (N)	6	N	Y	0.7571	1.0000	4	O	 
13	6	N (N)	6	N	Y	0.5912	1.0000	3	O	 
14	6	N (N)	6	N	Y	0.5000	0.9736	3	O	 
15	4	N (N)	6	N	Y	0.8142	1.0000	4	O	 
16	4	N (N)	6	N	Y	0.7785	0.9473	4	X	 
17	4	N (N)	6	N	Y	0.7500	1.0000	4	X	 
18	4	N (N)	6	N	Y	0.3095	1.0000	2	O	 
19	3	N (N)	6	Y	Y	0.9111	0.8947	4	X	 
20	3	N (N)	6	N	Y	0.5634	1.0000	3	O	 
21	2	N (N)	6	N	Y	0.2785	1.0000	2	O	 
22	1	N (N)	6	Y	Y	0.8968	1.0000	4	X	 
23	1	N (N)	6	N	Y	0.8071	1.0000	4	X	 
24	1	N (N)	6	N	Y	0.5428	0.7894	4	X	 
25	1	N (N)	6	N	Y	0.4563	1.0000	2	O	 
26	1	N (N)	6	N	Y	0.4523	0.8333	4	X	 
27	1	N (N)	6	N	Y	0.4087	1.0000	2	O	 
