Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1109-07-00	체력육성	1	채수봉	수5,6	스포츠(휘트니스센터)	27	49	0 (N)	0	9	9	9	X	36	1	36	22.1
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.8333	4	O	 
2	36	N (N)	6	Y	Y	1.0000	0.4736	4	O	 
3	36	N (N)	6	Y	Y	1.0000	0.0000	4	O	 
4	36	N (N)	6	Y	Y	0.9428	0.9473	4	O	 
5	36	N (N)	6	Y	Y	0.9285	0.9473	4	O	 
6	36	N (N)	6	Y	Y	0.8857	0.9473	4	O	 
7	36	N (N)	6	Y	Y	0.8814	0.8947	4	O	 
8	36	N (N)	6	N	Y	1.0000	0.3157	4	O	 
9	36	N (N)	6	N	Y	0.8785	0.9473	4	X	 
10	36	N (N)	6	N	Y	0.8092	0.6458	2	O	 
11	36	N (N)	6	N	Y	0.7777	1.0000	4	X	 
12	36	N (N)	6	N	Y	0.6000	0.6315	3	O	 
13	36	N (N)	6	N	Y	0.4484	0.9166	2	O	 
14	36	N (N)	6	N	Y	0.4404	1.0000	2	O	 
15	36	N (N)	4	N	Y	0.9206	1.0000	4	X	 
16	36	N (N)	3	N	Y	1.0000	0.5000	4	X	 
17	36	N (N)	2	Y	Y	1.0000	0.8333	4	X	 
18	35	N (N)	6	Y	Y	0.9925	0.7894	4	X	 
19	35	N (N)	6	Y	Y	0.9111	0.9473	4	X	 
20	34	N (N)	6	Y	Y	0.9428	0.9473	4	X	 
21	30	N (N)	6	N	Y	0.8618	0.7291	2	O	 
22	30	N (N)	6	N	Y	0.7222	0.8947	3	O	 
23	30	N (N)	3	Y	Y	1.0000	0.1578	4	X	 
24	28	N (N)	6	Y	Y	0.9259	0.9473	4	X	 
25	28	N (N)	6	N	Y	0.6571	0.9473	3	O	 
26	25	N (N)	6	Y	Y	0.8571	1.0000	4	X	 
27	25	N (N)	6	N	Y	0.7142	0.9473	4	X	 
28	23	N (N)	6	Y	Y	0.9761	0.6666	4	X	 
29	21	N (N)	6	N	Y	0.9250	1.0000	4	X	 
30	20	N (N)	6	N	Y	0.8355	0.8125	2	O	 
31	20	N (N)	6	N	Y	0.5111	0.9210	3	O	 
32	19	N (N)	6	N	Y	0.3531	0.6388	2	O	 
33	11	N (N)	6	N	Y	0.3296	0.8157	2	O	 
34	9	N (N)	6	N	Y	0.4642	1.0000	2	O	 
35	8	N (N)	6	N	Y	0.7222	1.0000	3	O	 
36	7	N (N)	6	N	Y	0.5703	1.0000	3	O	 
37	7	N (N)	6	N	Y	0.3851	0.9473	2	O	 
38	5	N (N)	3	Y	Y	1.0000	0.3157	4	X	 
39	5	N (N)	3	Y	Y	1.0000	0.1578	4	X	 
40	4	N (N)	6	N	Y	0.8370	0.6315	4	X	 
41	1	N (N)	6	Y	Y	1.0000	0.0000	4	X	 
42	1	N (N)	6	Y	Y	0.9000	0.7894	4	X	 
43	1	N (N)	6	Y	Y	0.8730	0.8333	4	X	 
44	1	N (N)	6	Y	Y	0.8714	1.0000	4	X	 
45	1	N (N)	6	Y	N	1.0000	0.3157	4	X	 
46	1	N (N)	6	N	Y	0.7063	0.6666	3	O	 
47	1	N (N)	6	N	Y	0.6500	1.0000	3	O	 
48	1	N (N)	5	Y	Y	0.9071	0.9473	4	X	 
0	4	N (N)	6	Y	Y	0.9071	1.0000	4	O	* 
