Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1121-04-00	요가	1	윤여경	금7,8	스포츠(다목적실3)	22	67	0 (N)	0	8	7	7	X	36	1	36	22.94
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.8421	4	O	 
2	36	N (N)	6	Y	Y	1.0000	0.8333	4	O	 
3	36	N (N)	6	Y	Y	1.0000	0.8333	4	O	 
4	36	N (N)	6	Y	Y	1.0000	0.0555	4	O	 
5	36	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
6	36	N (N)	6	Y	Y	0.8968	1.0000	4	O	 
7	36	N (N)	6	N	Y	0.8650	0.8333	4	O	 
8	36	N (N)	6	N	Y	0.8000	0.9473	4	X	 
9	36	N (N)	6	N	Y	0.7857	1.0000	4	X	 
10	36	N (N)	6	N	Y	0.7555	0.9473	4	X	 
11	36	N (N)	6	N	Y	0.6984	1.0000	4	X	 
12	36	N (N)	6	N	Y	0.6445	0.9473	4	X	 
13	36	N (N)	6	N	Y	0.5642	0.8947	3	O	 
14	36	N (N)	6	N	Y	0.2428	0.9473	2	O	 
15	36	N (N)	5	N	Y	0.8730	1.0000	4	X	 
16	36	N (N)	5	N	Y	0.5476	0.8571	3	O	 
17	36	N (N)	5	N	Y	0.5436	0.7619	3	O	 
18	36	N (N)	4	Y	Y	0.9603	0.8333	4	X	 
19	36	N (N)	4	N	Y	0.7928	1.0000	4	X	 
20	36	N (N)	3	Y	Y	1.0000	0.5000	4	X	 
21	36	N (N)	3	Y	Y	1.0000	0.0000	4	X	 
22	36	N (N)	2	Y	Y	1.0000	0.1666	4	X	 
23	36	N (N)	2	Y	Y	1.0000	0.0526	4	X	 
24	36	N (N)	2	Y	Y	0.9851	0.7894	4	X	 
25	36	N (N)	2	N	Y	0.9285	1.0000	4	X	 
26	36	N (N)	1	Y	Y	1.0000	0.7894	4	X	 
27	36	N (N)	1	Y	Y	1.0000	0.4736	4	X	 
28	35	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
29	35	N (N)	6	N	Y	0.6987	0.9473	4	X	 
30	35	N (N)	2	Y	Y	1.0000	1.0000	4	X	 
31	35	N (N)	2	Y	Y	1.0000	0.7368	4	X	 
32	34	N (N)	6	N	Y	1.0000	0.1666	4	X	 
33	28	N (N)	6	N	Y	0.2642	0.9210	2	O	 
34	28	N (N)	6	N	Y	0.2571	0.9210	2	O	 
35	28	N (N)	4	N	Y	0.3174	1.0000	2	O	 
36	27	N (N)	6	N	Y	0.7214	0.6842	4	X	 
37	26	N (N)	6	N	Y	0.5238	0.8611	3	O	 
38	25	N (N)	6	N	Y	0.2500	1.0000	2	O	 
39	25	N (N)	4	N	Y	0.6150	1.0000	3	O	 
40	22	N (N)	6	Y	N	1.0000	0.1666	4	X	 
41	20	N (N)	6	N	Y	0.3769	0.8611	2	O	 
42	19	N (N)	6	N	Y	0.6571	0.9473	4	X	 
43	16	N (N)	6	N	Y	0.3452	0.6944	2	O	 
44	15	N (N)	6	N	Y	0.3629	0.9473	2	O	 
45	15	N (N)	6	N	Y	0.3535	0.8684	2	X	 
46	11	N (N)	5	N	Y	0.8444	0.3157	4	X	 
47	10	N (N)	6	N	Y	0.6468	1.0000	3	O	 
48	10	N (N)	6	N	Y	0.5873	1.0000	3	O	 
49	10	N (N)	6	N	Y	0.5071	0.9473	3	X	 
50	8	N (N)	6	N	Y	0.7619	0.6666	4	X	 
51	6	N (N)	6	N	Y	0.7285	1.0000	4	X	 
52	6	N (N)	6	N	Y	0.5703	1.0000	3	X	 
53	6	N (N)	6	N	Y	0.4785	0.8947	3	X	 
54	5	N (N)	6	N	Y	0.5285	0.9473	3	X	 
55	4	N (N)	6	N	Y	1.0000	0.2222	4	X	 
56	4	N (N)	6	N	Y	0.3666	0.8157	2	X	 
57	4	N (N)	6	N	Y	0.3174	1.0000	2	X	 
58	4	N (N)	6	N	Y	0.3095	1.0000	2	X	 
59	1	N (N)	6	Y	Y	1.0000	0.7368	4	X	 
60	1	N (N)	6	Y	Y	1.0000	0.6842	4	X	 
61	1	N (N)	6	Y	Y	1.0000	0.6666	4	X	 
62	1	N (N)	6	Y	Y	1.0000	0.3333	4	X	 
63	1	N (N)	6	Y	Y	1.0000	0.0555	4	X	 
64	1	N (N)	6	N	Y	1.0000	0.7368	4	X	 
65	1	N (N)	6	N	Y	0.7777	0.9473	4	X	 
66	1	N (N)	6	N	Y	0.6144	0.9473	4	X	 
67	1	N (N)	4	Y	Y	1.0000	0.1666	4	X	 
