Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UIC3511-01-00	MORAL PSYCHOLOGY	3	풀러티모시	화2,3,목1	새천114	18	43	18 (Y)	0	0	0	0	X	36	1	36	22.05
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.8333	0.8333	4	O	 
2	36	Y (Y)	6	N	Y	0.9523	0.9473	3	O	 
3	36	Y (Y)	6	N	Y	0.7460	0.7222	4	O	 
4	36	Y (Y)	6	N	Y	0.7361	0.8611	3	O	 
5	36	Y (Y)	6	N	Y	0.6666	0.7894	3	O	 
6	36	Y (Y)	6	N	Y	0.6428	0.7777	3	O	 
7	36	Y (Y)	5	N	Y	0.7936	1.0000	4	O	 
8	36	Y (Y)	3	Y	Y	0.9365	0.7777	4	O	 
9	36	Y (Y)	3	N	Y	0.3531	0.8611	2	O	 
10	32	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
11	31	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
12	30	Y (Y)	6	N	Y	0.6111	0.0000	4	O	 
13	27	Y (Y)	6	N	Y	0.8412	0.8333	4	O	 
14	27	Y (Y)	6	N	Y	0.5119	1.0000	3	O	 
15	26	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
16	25	Y (Y)	6	N	Y	0.6428	0.8611	3	O	 
17	25	Y (Y)	6	N	Y	0.6190	0.8333	3	O	 
18	25	Y (Y)	5	N	Y	0.4841	1.0000	3	O	 
19	24	Y (Y)	6	N	Y	0.3690	0.6944	2	X	 
20	21	Y (Y)	6	N	Y	0.5714	1.0000	3	X	 
21	21	Y (Y)	6	N	Y	0.5000	0.8611	3	X	 
22	21	Y (Y)	6	N	Y	0.3769	0.9166	2	X	 
23	20	Y (Y)	6	N	Y	0.5952	1.0000	3	X	 
24	20	Y (Y)	6	N	Y	0.4484	0.8157	2	X	 
25	20	Y (Y)	5	N	Y	0.6666	0.8611	3	X	 
26	19	Y (Y)	6	N	Y	0.5714	1.0000	3	X	 
27	18	Y (Y)	5	N	Y	0.4722	1.0000	2	X	 
28	18	Y (Y)	5	N	Y	0.4246	0.8611	2	X	 
29	18	Y (Y)	3	Y	Y	0.9285	0.7222	4	X	 
30	17	Y (Y)	6	N	Y	0.5714	1.0000	3	X	 
31	16	Y (Y)	6	N	Y	0.4365	1.0000	2	X	 
32	15	Y (Y)	6	N	Y	0.8174	0.8333	4	X	 
33	15	Y (Y)	5	N	Y	0.5873	0.9444	3	X	 
34	14	Y (Y)	5	N	Y	0.7976	0.8333	4	X	 
35	14	Y (Y)	4	Y	Y	0.9206	0.6666	4	X	 
36	13	Y (Y)	6	N	Y	0.4444	1.0000	2	X	 
37	13	Y (Y)	5	N	Y	0.7142	1.0000	3	X	 
38	10	Y (Y)	6	N	Y	0.6746	1.0000	3	X	 
39	10	Y (Y)	6	N	Y	0.6111	0.8333	3	X	 
40	8	Y (Y)	6	N	Y	0.3730	1.0000	3	X	 
41	7	Y (Y)	6	N	Y	0.4007	1.0000	2	X	 
42	3	Y (Y)	6	N	Y	0.8333	1.0000	4	X	 
43	1	Y (Y)	6	Y	Y	1.0000	0.7894	4	X	 
