Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UIC3589-01-00	TOPICS IN MEDIA AND POPULAR CULTURE	3	이알버트	수7,금7,8	새천215	18	31	18 (N)	0	0	0	0	X	36	1	36	23.16
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.9365	0.6666	4	O	 
2	36	Y (Y)	6	Y	Y	0.8809	1.0000	4	O	 
3	36	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
4	36	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
5	36	Y (Y)	6	N	Y	0.6111	0.6666	3	O	 
6	36	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
7	36	Y (Y)	6	N	Y	0.4722	0.8157	2	O	 
8	36	Y (Y)	5	N	Y	0.6190	0.8611	3	O	 
9	36	Y (Y)	5	N	Y	0.3492	0.8888	2	O	 
10	30	Y (Y)	6	Y	Y	0.8809	1.0000	4	O	 
11	30	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
12	29	Y (Y)	6	N	Y	0.6587	0.8333	3	O	 
13	28	Y (Y)	6	N	Y	0.8055	0.9473	4	O	 
14	28	Y (Y)	6	N	Y	0.7539	1.0000	4	O	 
15	28	Y (Y)	5	N	Y	0.4484	1.0000	2	O	 
16	25	Y (Y)	6	N	Y	0.6904	0.9444	3	O	 
17	20	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
18	20	Y (Y)	6	N	Y	0.2619	0.8333	2	X	 
19	20	Y (Y)	4	Y	Y	1.0000	1.0000	4	X	 
20	19	Y (Y)	5	N	Y	0.4007	0.9166	2	X	 
21	16	Y (Y)	5	N	Y	0.3015	1.0000	2	X	 
22	15	Y (Y)	5	N	Y	0.4682	0.8611	2	X	 
23	15	Y (Y)	5	N	Y	0.4484	0.9736	2	X	 
24	12	Y (Y)	6	N	Y	0.7460	1.0000	4	X	 
25	12	Y (Y)	5	N	Y	0.3333	1.0000	2	X	 
26	12	Y (Y)	5	N	Y	0.3095	1.0000	2	X	 
27	11	Y (Y)	6	N	Y	0.4722	1.0000	2	X	 
28	11	Y (Y)	6	N	Y	0.2341	0.8888	2	X	 
29	10	Y (Y)	6	N	Y	0.6190	1.0000	3	X	 
30	2	Y (Y)	6	N	Y	0.6269	0.8333	3	X	 
31	1	Y (Y)	6	Y	Y	0.9424	1.0000	4	X	 
